session,animalID,occasion,date,trapID,sex
1,SL1,1,02/16/2023,TPC37,Female
1,SL10,1,03/04/2023,TPC14,Female
1,SL10,1,05/13/2023,TPC14,Female
1,SL11,1,12/18/2022,TPC31,Female
1,SL12,1,02/09/2023,TPC25,Male
1,SL12,1,11/13/2022,TPC32,Male
1,SL13,1,03/04/2023,NRCID296,Female
1,SL14,1,03/05/2023,Camera10,Male
1,SL14,1,12/10/2022,TPC11,Male
1,SL14,1,04/18/2023,TPC11,Male
1,SL14,1,01/22/2023,TPC32,Male
1,SL15,1,01/12/2023,TPC41,Male
1,SL16,1,01/09/2023,Camera8,Male
1,SL16,1,11/29/2022,TPC32,Male
1,SL17,1,01/26/2023,Camera6,Male
1,SL17,1,03/08/2023,Camera8,Male
1,SL17,1,01/26/2023,NRCID296,Male
1,SL18,1,04/15/2023,Camera4,Male
1,SL19,1,01/21/2023,TPC11,Male
1,SL19,1,02/21/2023,TPC11,Male
1,SL2,1,12/03/2022,TPC2,Female
1,SL20,1,01/25/2023,Camera8,Male
1,SL20,1,04/29/2023,TPC9,Male
1,SL21,1,04/20/2023,Camera2,Male
1,SL21,1,01/03/2023,NRCID296,Male
1,SL21,1,02/15/2023,TPC9,Male
1,SL22,1,06/04/2023,CAM101,Female
1,SL22,1,05/10/2023,Camera10,Female
1,SL22,1,01/22/2023,Camera4,Female
1,SL23,1,12/24/2022,Camera2,Unknown
1,SL23,1,01/06/2023,Camera2,Unknown
1,SL23,1,03/18/2023,TPC48,Unknown
1,SL23,1,12/10/2022,TPC9,Unknown
1,SL24,1,06/11/2023,CAM106,Unknown
1,SL24,1,01/11/2023,Camera1,Unknown
1,SL25,1,01/04/2023,Camera2,Male
1,SL26,1,02/07/2023,Camera1,Male
1,SL3,1,11/18/2022,TPC14,Female
1,SL4,1,11/27/2022,TPC7,Female
1,SL5,1,11/25/2022,TPC26,Male
1,SL5,1,04/07/2023,TPC32,Male
1,SL6,1,01/15/2023,TPC23,Male
1,SL7,1,03/21/2023,TPC11,Unknown
1,SL7,1,04/14/2023,TPC37,Unknown
1,SL8,1,04/18/2023,TPC12,Male
1,SL8,1,11/10/2022,TPC20,Male
1,SL9,1,03/24/2023,TPC41,Male
