session,trapID,Latitude,Longitude,x,y,UTM Zone,start_date,end_date,effort,Topography,Altitude,Water,Note,Issue
1,Camera8,81.53307,30.23653,3345115,551291,44R,17/12/2022,13/03/2023,86,Cliff,3978,1,Functional,"Swapped x,y"
1,Camera&11,30.201988,81.4504,543352,3341253,44R,20/12/2022,07/02/2023,49,Cliff,4061,0,Functional,trapID punctuation
1,      Camera14,30.16731,81.38865,537422,3337389,44R,21/12/2022,16/03/2023,85,Cliff,3959,0,Functional,trapID leading space
1,Camera12,30.18575,81.4323,541617,3339447,44R,1312/2022,16/03/2023,93,Cliff,4079,0,Functional,date format
1,TPC48,30.25107,81.74866,572025,3346844,44R,10.12.2022,01/06/2023,173,"Cliff, Valley floor",4549,1,Functional,date format
1,TPC 38,29.97843,81.5182,549990,3316508,44R,30/12/2022,14/04/2023,105,Hill slope,4132,1,Functional,trapID internal whitespace
1,TPC23,29.98457,81.59782,557668,3317226,44R,29/12/2022,12/03/2023,73,Hill slope,3963,0,Functional,
1,TPC20,30.07531,81.47713,545984,3327226,44R,07/11/2022,18/12/2022,41,"Hill slope, Ridgeline",4412,0,Functional,
1,TPC7,30.08709,81.36383,535060,3328492,44R,12/11/2022,17/04/2023,156,Hill slope,3902,0,Functional,
1,TPC11,30.11167,81.46037,544352,3331249,44R,09/11/2022,19/04/2023,161,"Cliff, Ridgeline",4139,0,Functional,
1,TPC32,30.1023,81.51213,549343,3330232,44R,08/11/2022,15/04/2023,158,"Cliff, Scree/Boulder",4122,0,Functional,
1,TPC25,30.08775,81.53186,551252,3328628,44R,14/11/2022,16/04/2023,153,Cliff,3160,1,Functional,
1,Camera1,30.28309,81.69942,567266,3350361,44R,11/12/2022,16/03/2023,95,Cliff,4356,0,Functional,
1,NRCID296,30.23312,81.60427,558144,3344772,44R,19/12/2022,02/06/2023,165,Hill slope,4614,0,Functional,
1,TPC9,30.25424,81.70212,567545,3347166,44R,09/12/2022,31/05/2023,173,Ridgeline,4576,1,Functional,
1,TPC3,30.21601,81.48615,546786,3342821,44R,18/12/2022,22/03/2023,94,Ridgeline,3927,1,Functional,
1,Camera5,30.2508,81.590415,556801,3346724,44R,14/12/2022,03/06/2023,171,"Ridgeline, Hill slope",4609,0,Functional,
1,TPC19,30.11449,81.6068,558458,3331627,44R,30/10/2022,02/02/2023,95,Hill slope,4326,0,Functional,
1,TPC41,30.148557,81.35813,534489,3335301,44R,23/12/2022,20/04/2023,118,Cliff,4120,0,Functional,
1,Camera10,30.2144,81.46558,544808,3342635,44R,19/12/2022,06/06/2023,169,Cliff,3931,0,Functional,
1,CAM106,30.36567,81.6582,563249,3359489,44R,2023/29/05,2023/29/06,31,"Cliff, Stream bed",4792,1,Functional,date format
1,TPC16,30.06745,81.5163,549763,3326372,44R,06/11/2022,29/11/2022,23,"Ridgeline, Cliff",4120,0,Functional,
1,NRCID300,30.2483,81.65577,563090,3346481,44R,17/12/2022,15/04/2023,119,"Valley floor, stream bed",4167,1,Functional,
1,Camera2,30.29383,81.72695,569906,3351569,44R,11/12/2022,23/05/2023,163,Very broken,4403,1,Functional,
1,Camera13,30.17173,81.41617,540070,3337888,44R,21/12/2022,,,Cliff,3943,1,Lost,zero effort
1,TPC10,30.21423,81.71384,568701,3342740,44R,08/12/2022,10/12/2022,2,Scree/boulders,4703,1,Functional,
1,TPC28,30.21426,81.70646,567990,3342738,44R,08/12/2022,,,Cliff,4542,1,Malfunction,zero effort
1,TPC30,30.2639,81.77913,574947,3348285,44R,10/12/2022,,,Cliff,4686,0,Malfunction,zero effort
1,Camera3,30.28567,81.66045,563516,3350625,44R,12/12/2022,18/12/2022,6,Cliff,4574,1,Functional,
1,Camera4,30.24737,81.6421,561776,3346371,44R,13/12/2022,01/05/2023,139,Scree/boulders,4367,0,Functional,
